tensor(28.7280, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.2030, device='cuda:0', grad_fn=<MulBackward0>)
tensor(32.0555, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.7356, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.1982, device='cuda:0', grad_fn=<MulBackward0>)
tensor(29.3003, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.2261, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.8031, device='cuda:0', grad_fn=<MulBackward0>)
tensor(27.3759, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.4879, device='cuda:0', grad_fn=<MulBackward0>)
tensor(28.7230, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.7002, device='cuda:0', grad_fn=<MulBackward0>)
tensor(26.3256, device='cuda:0', grad_fn=<MulBackward0>)
tensor(23.0341, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.3443, device='cuda:0', grad_fn=<MulBackward0>)
tensor(24.8582, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.7094, device='cuda:0', grad_fn=<MulBackward0>)
tensor(31.9706, device='cuda:0', grad_fn=<MulBackward0>)
tensor(25.7711, device='cuda:0', grad_fn=<MulBackward0>)
